YearQuarter	Year	Quarter	Period	Auto	CreditCard	Mortgage	HomeEquity	StudentLoan	Other	All
11:Q2	2011	Q2	Post-Crisis 	1.86	6.9	4.83	2.7	8.6	5.61	4.91
11:Q3	2011	Q3	Post-Crisis 	1.81	6.26	4.64	2.97	8.87	5.11	4.77
11:Q4	2011	Q4	Post-Crisis 	1.69	5.87	4.58	3.06	9.31	4.64	4.72
12:Q1	2012	Q1	Post-Crisis 	1.63	5.41	4.41	2.77	9.39	4.37	4.55
12:Q2	2012	Q2	Post-Crisis 	1.6	5.19	4.18	2.7	9.84	4.06	4.41
12:Q3	2012	Q3	Post-Crisis 	1.52	4.85	3.88	2.4	10.31	3.98	4.19
12:Q4	2012	Q4	Post-Crisis 	1.52	4.51	3.48	1.87	10.28	3.89	3.86
13:Q1	2013	Q1	Normal	1.57	4.41	3.18	1.81	10.54	3.99	3.67
13:Q2	2013	Q2	Normal	1.63	4.28	2.99	1.65	9.95	4.03	3.49
13:Q3	2013	Q3	Normal	1.63	4.03	2.74	1.48	9.78	3.91	3.28
13:Q4	2013	Q4	Normal	1.58	3.91	2.54	1.51	10.21	3.93	3.17
14:Q1	2014	Q1	Normal	1.56	3.87	2.33	1.73	10.21	3.82	3.03
14:Q2	2014	Q2	Normal	1.61	3.74	2.11	1.62	10.33	3.81	2.89
14:Q3	2014	Q3	Normal	1.73	3.85	1.94	1.58	10.24	3.85	2.79
14:Q4	2014	Q4	Normal	1.88	3.92	1.81	1.51	10.13	3.82	2.71
15:Q1	2015	Q1	Normal	1.96	3.76	1.7	1.22	10.12	3.96	2.63
15:Q2	2015	Q2	Normal	2	3.8	1.65	1.19	10.27	4.04	2.62
15:Q3	2015	Q3	Normal	2.04	3.85	1.63	0.99	10.18	4.04	2.6
15:Q4	2015	Q4	Normal	2.09	3.72	1.55	0.97	10.04	4.03	2.54
16:Q1	2016	Q1	Normal	2.18	3.69	1.49	0.94	9.72	4.06	2.48
16:Q2	2016	Q2	Normal	2.18	3.51	1.41	0.96	9.43	4.01	2.39
16:Q3	2016	Q3	Normal	2.21	3.51	1.29	1.02	9.53	4.16	2.33
16:Q4	2016	Q4	Normal	2.25	3.71	1.29	1.13	9.42	4.4	2.36
17:Q1	2017	Q1	Normal	2.3	4.08	1.24	0.97	9.64	4.46	2.38
17:Q2	2017	Q2	Normal	2.31	4.42	1.24	0.87	9.73	4.65	2.41
17:Q3	2017	Q3	Normal	2.36	4.6	1.24	0.92	9.64	4.66	2.43
17:Q4	2017	Q4	Normal	2.33	4.64	1.14	0.9	9.29	4.59	2.32
18:Q1	2018	Q1	Normal	2.29	4.72	1.13	0.99	8.89	4.63	2.28
18:Q2	2018	Q2	Normal	2.34	4.76	1.18	1.14	8.59	4.75	2.31
18:Q3	2018	Q3	Normal	2.3	4.8	1.18	0.99	9.07	4.88	2.35
18:Q4	2018	Q4	Normal	2.36	4.99	1.19	0.81	8.94	4.89	2.36
19:Q1	2019	Q1	Normal	2.36	5.04	1.1	0.85	9.38	4.88	2.35
19:Q2	2019	Q2	Normal	2.34	5.17	1.04	0.72	9.89	4.77	2.37
19:Q3	2019	Q3	Normal	2.34	5.16	0.99	0.83	9.26	4.67	2.27
19:Q4	2019	Q4	Normal	2.36	5.32	1.1	0.85	9.21	4.7	2.36
20:Q1	2020	Q1	Normal	2.37	5.31	1.17	0.77	8.87	4.74	2.38
